sample_name	unit_name	fq1	fq2	sra	adapters
SRR17868041	NA	NA	NA	SRR17868041	NA
SRR17868042	NA	NA	NA	SRR17868042	NA
SRR17868043	NA	NA	NA	SRR17868043	NA
SRR17868044	NA	NA	NA	SRR17868044	NA
SRR17868045	NA	NA	NA	SRR17868045	NA
SRR17868046	NA	NA	NA	SRR17868046	NA
SRR17868047	NA	NA	NA	SRR17868047	NA
SRR17868048	NA	NA	NA	SRR17868048	NA
SRR17868049	NA	NA	NA	SRR17868049	NA
SRR17868050	NA	NA	NA	SRR17868050	NA
SRR17868051	NA	NA	NA	SRR17868051	NA
SRR17868052	NA	NA	NA	SRR17868052	NA
SRR17868053	NA	NA	NA	SRR17868053	NA
SRR17868054	NA	NA	NA	SRR17868054	NA
SRR17868055	NA	NA	NA	SRR17868055	NA
SRR17868056	NA	NA	NA	SRR17868056	NA
SRR17868057	NA	NA	NA	SRR17868057	NA
SRR17868058	NA	NA	NA	SRR17868058	NA
SRR17868059	NA	NA	NA	SRR17868059	NA
SRR17868060	NA	NA	NA	SRR17868060	NA
SRR17868061	NA	NA	NA	SRR17868061	NA
SRR17868062	NA	NA	NA	SRR17868062	NA
SRR17868063	NA	NA	NA	SRR17868063	NA
SRR17868064	NA	NA	NA	SRR17868064	NA
SRR17868065	NA	NA	NA	SRR17868065	NA
SRR17868066	NA	NA	NA	SRR17868066	NA
SRR17868067	NA	NA	NA	SRR17868067	NA
SRR17868068	NA	NA	NA	SRR17868068	NA
SRR17868069	NA	NA	NA	SRR17868069	NA
SRR17868070	NA	NA	NA	SRR17868070	NA
SRR17868071	NA	NA	NA	SRR17868071	NA
SRR17868072	NA	NA	NA	SRR17868072	NA
SRR17868073	NA	NA	NA	SRR17868073	NA
SRR17868074	NA	NA	NA	SRR17868074	NA
SRR17868075	NA	NA	NA	SRR17868075	NA
SRR17868076	NA	NA	NA	SRR17868076	NA
SRR17868077	NA	NA	NA	SRR17868077	NA
SRR17868078	NA	NA	NA	SRR17868078	NA
SRR17868079	NA	NA	NA	SRR17868079	NA
SRR17868080	NA	NA	NA	SRR17868080	NA
SRR17868081	NA	NA	NA	SRR17868081	NA
SRR17868082	NA	NA	NA	SRR17868082	NA
SRR17868083	NA	NA	NA	SRR17868083	NA
SRR17868084	NA	NA	NA	SRR17868084	NA
SRR17868085	NA	NA	NA	SRR17868085	NA
SRR17868086	NA	NA	NA	SRR17868086	NA
SRR17868087	NA	NA	NA	SRR17868087	NA
SRR17868088	NA	NA	NA	SRR17868088	NA
SRR17868089	NA	NA	NA	SRR17868089	NA
SRR17868090	NA	NA	NA	SRR17868090	NA
SRR17868091	NA	NA	NA	SRR17868091	NA
SRR17868092	NA	NA	NA	SRR17868092	NA
SRR17868093	NA	NA	NA	SRR17868093	NA
SRR17868094	NA	NA	NA	SRR17868094	NA
SRR23602723	NA	NA	NA	SRR23602723	NA
SRR23602724	NA	NA	NA	SRR23602724	NA
SRR23602725	NA	NA	NA	SRR23602725	NA
SRR23602726	NA	NA	NA	SRR23602726	NA
SRR23602727	NA	NA	NA	SRR23602727	NA
SRR23602728	NA	NA	NA	SRR23602728	NA
SRR23602729	NA	NA	NA	SRR23602729	NA
SRR23602730	NA	NA	NA	SRR23602730	NA
SRR23602731	NA	NA	NA	SRR23602731	NA
SRR23602732	NA	NA	NA	SRR23602732	NA
SRR23602733	NA	NA	NA	SRR23602733	NA
SRR23602734	NA	NA	NA	SRR23602734	NA
SRR23602735	NA	NA	NA	SRR23602735	NA
SRR23602736	NA	NA	NA	SRR23602736	NA
SRR23602737	NA	NA	NA	SRR23602737	NA
SRR23602738	NA	NA	NA	SRR23602738	NA
SRR23602739	NA	NA	NA	SRR23602739	NA
SRR23602740	NA	NA	NA	SRR23602740	NA
SRR23602741	NA	NA	NA	SRR23602741	NA
SRR23602742	NA	NA	NA	SRR23602742	NA
SRR23602743	NA	NA	NA	SRR23602743	NA
SRR23602744	NA	NA	NA	SRR23602744	NA
SRR23602745	NA	NA	NA	SRR23602745	NA
SRR23602746	NA	NA	NA	SRR23602746	NA
SRR23602747	NA	NA	NA	SRR23602747	NA
SRR23602748	NA	NA	NA	SRR23602748	NA
SRR23602749	NA	NA	NA	SRR23602749	NA
SRR23602750	NA	NA	NA	SRR23602750	NA
SRR23602751	NA	NA	NA	SRR23602751	NA
SRR23602752	NA	NA	NA	SRR23602752	NA
SRR23602753	NA	NA	NA	SRR23602753	NA
SRR23602754	NA	NA	NA	SRR23602754	NA
SRR23602755	NA	NA	NA	SRR23602755	NA
SRR23602756	NA	NA	NA	SRR23602756	NA
SRR23602757	NA	NA	NA	SRR23602757	NA
SRR23602758	NA	NA	NA	SRR23602758	NA
SRR23602759	NA	NA	NA	SRR23602759	NA
SRR23602760	NA	NA	NA	SRR23602760	NA
SRR23602761	NA	NA	NA	SRR23602761	NA
SRR23602762	NA	NA	NA	SRR23602762	NA
SRR23602763	NA	NA	NA	SRR23602763	NA
SRR11011261	NA	NA	NA	SRR11011261	NA
SRR11011262	NA	NA	NA	SRR11011262	NA
SRR11011263	NA	NA	NA	SRR11011263	NA
SRR11011264	NA	NA	NA	SRR11011264	NA
SRR11011265	NA	NA	NA	SRR11011265	NA
SRR11011266	NA	NA	NA	SRR11011266	NA
SRR11011267	NA	NA	NA	SRR11011267	NA
SRR11011268	NA	NA	NA	SRR11011268	NA
SRR11011269	NA	NA	NA	SRR11011269	NA
SRR11011270	NA	NA	NA	SRR11011270	NA
SRR11011271	NA	NA	NA	SRR11011271	NA
SRR11011272	NA	NA	NA	SRR11011272	NA
SRR11011273	NA	NA	NA	SRR11011273	NA
SRR11011274	NA	NA	NA	SRR11011274	NA
SRR11011275	NA	NA	NA	SRR11011275	NA
SRR11011276	NA	NA	NA	SRR11011276	NA
SRR11011277	NA	NA	NA	SRR11011277	NA
SRR11011278	NA	NA	NA	SRR11011278	NA
SRR11011279	NA	NA	NA	SRR11011279	NA
SRR11011280	NA	NA	NA	SRR11011280	NA
SRR11011281	NA	NA	NA	SRR11011281	NA
SRR11011282	NA	NA	NA	SRR11011282	NA
SRR11011283	NA	NA	NA	SRR11011283	NA
SRR11011284	NA	NA	NA	SRR11011284	NA
SRR11011285	NA	NA	NA	SRR11011285	NA
SRR11011286	NA	NA	NA	SRR11011286	NA
SRR11011287	NA	NA	NA	SRR11011287	NA
SRR11011288	NA	NA	NA	SRR11011288	NA
SRR11011289	NA	NA	NA	SRR11011289	NA
SRR11011290	NA	NA	NA	SRR11011290	NA
SRR11011291	NA	NA	NA	SRR11011291	NA
SRR11011292	NA	NA	NA	SRR11011292	NA
SRR11011293	NA	NA	NA	SRR11011293	NA
SRR11011294	NA	NA	NA	SRR11011294	NA
